id,scientific_name,common_name,image_url,taxa_url,attribution
704775,Angelina rufescens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/463140339/medium.jpg,https://www.inaturalist.org/taxa/704775,"(c) rdegeer, some rights reserved (CC BY-NC)"
704775,Angelina rufescens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/458171920/medium.jpg,https://www.inaturalist.org/taxa/704775,"(c) huafang, some rights reserved (CC BY-NC)"
704775,Angelina rufescens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/452835940/medium.jpeg,https://www.inaturalist.org/taxa/704775,"(c) Lala, some rights reserved (CC BY-NC)"
955949,Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/468889063/medium.jpg,https://www.inaturalist.org/taxa/955949,"(c) xenicus, some rights reserved (CC BY-NC)"
955949,Calycina citrina,Yellow Fairy Cups,https://static.inaturalist.org/photos/468842274/medium.jpeg,https://www.inaturalist.org/taxa/955949,"(c) Daniel Winkler, all rights reserved"
955949,Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/468080678/medium.jpg,https://www.inaturalist.org/taxa/955949,"(c) daniilalexandrov, some rights reserved (CC BY-NC)"
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/469365636/medium.jpg,https://www.inaturalist.org/taxa/194476,"(c) stephaniemelkonyan, some rights reserved (CC BY-NC)"
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/469190313/medium.jpeg,https://www.inaturalist.org/taxa/194476,no rights reserved
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/469061990/medium.jpeg,https://www.inaturalist.org/taxa/194476,"(c) Turo Tuomikoski, some rights reserved (CC BY-NC)"
56318,Coprinellus micaceus,mica cap,https://inaturalist-open-data.s3.amazonaws.com/photos/469645650/medium.jpg,https://www.inaturalist.org/taxa/56318,no rights reserved
56318,Coprinellus micaceus,mica cap,https://inaturalist-open-data.s3.amazonaws.com/photos/468947014/medium.jpg,https://www.inaturalist.org/taxa/56318,"(c) Adam Jay, some rights reserved (CC BY-NC)"
56318,Coprinellus micaceus,mica cap,https://static.inaturalist.org/photos/468855745/medium.jpeg,https://www.inaturalist.org/taxa/56318,"(c) Rosie Mcdowell, all rights reserved"
499999,Daedaleopsis septentrionalis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/451286847/medium.jpeg,https://www.inaturalist.org/taxa/499999,"(c) Сергей, some rights reserved (CC BY-NC)"
499999,Daedaleopsis septentrionalis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/434972574/medium.jpeg,https://www.inaturalist.org/taxa/499999,"(c) Ingrid Montarras, some rights reserved (CC BY-NC)"
879877,Exidia crenata,American Amber Jelly Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/469446379/medium.jpg,https://www.inaturalist.org/taxa/879877,"(c) samsteph11, some rights reserved (CC BY-NC)"
