id,scientific_name,common_name,image_url,taxa_url,attribution
972793,Apioperdon pyriforme,Pear-shaped Puffball,https://inaturalist-open-data.s3.amazonaws.com/photos/469695745/medium.jpg,https://www.inaturalist.org/taxa/972793,"(c) jmli, some rights reserved (CC BY-NC)"
972793,Apioperdon pyriforme,Pear-shaped Puffball,https://static.inaturalist.org/photos/469544515/medium.jpeg,https://www.inaturalist.org/taxa/972793,"(c) Henning Karger, all rights reserved"
972793,Apioperdon pyriforme,Pear-shaped Puffball,https://inaturalist-open-data.s3.amazonaws.com/photos/469667271/medium.jpg,https://www.inaturalist.org/taxa/972793,"(c) serfhof, some rights reserved (CC BY-NC)"
211220,Berkleasmium concinnum,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/455785388/medium.jpg,https://www.inaturalist.org/taxa/211220,"(c) Emma Richter, some rights reserved (CC BY-NC)"
211220,Berkleasmium concinnum,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/442273447/medium.jpeg,https://www.inaturalist.org/taxa/211220,"(c) David Chapados, some rights reserved (CC BY-NC)"
211220,Berkleasmium concinnum,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/412876067/medium.jpeg,https://www.inaturalist.org/taxa/211220,"(c) ethancrenson, some rights reserved (CC BY-NC)"
955949,Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/468889063/medium.jpg,https://www.inaturalist.org/taxa/955949,"(c) xenicus, some rights reserved (CC BY-NC)"
955949,Calycina citrina,Yellow Fairy Cups,https://static.inaturalist.org/photos/468842274/medium.jpeg,https://www.inaturalist.org/taxa/955949,"(c) Daniel Winkler, all rights reserved"
955949,Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/468080678/medium.jpg,https://www.inaturalist.org/taxa/955949,"(c) daniilalexandrov, some rights reserved (CC BY-NC)"
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/469365636/medium.jpg,https://www.inaturalist.org/taxa/194476,"(c) stephaniemelkonyan, some rights reserved (CC BY-NC)"
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/469190313/medium.jpeg,https://www.inaturalist.org/taxa/194476,no rights reserved
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/469061990/medium.jpeg,https://www.inaturalist.org/taxa/194476,"(c) Turo Tuomikoski, some rights reserved (CC BY-NC)"
350663,Diatrype stigma,common tarcrust fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/468661089/medium.jpeg,https://www.inaturalist.org/taxa/350663,"(c) Zoom, some rights reserved (CC BY-NC)"
350663,Diatrype stigma,common tarcrust fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/468319629/medium.jpg,https://www.inaturalist.org/taxa/350663,"(c) Sam Kieschnick, some rights reserved (CC BY)"
350663,Diatrype stigma,common tarcrust fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/468167562/medium.jpeg,https://www.inaturalist.org/taxa/350663,"(c) bigbend83, some rights reserved (CC BY-NC)"
55568,Exidia glandulosa,Black Witches' Butter,https://inaturalist-open-data.s3.amazonaws.com/photos/469297940/medium.jpg,https://www.inaturalist.org/taxa/55568,"(c) zmrl, some rights reserved (CC BY-NC)"
55568,Exidia glandulosa,Black Witches' Butter,https://inaturalist-open-data.s3.amazonaws.com/photos/468848091/medium.jpg,https://www.inaturalist.org/taxa/55568,no rights reserved
55568,Exidia glandulosa,Black Witches' Butter,https://static.inaturalist.org/photos/468475436/medium.jpg,https://www.inaturalist.org/taxa/55568,"(c) florallyfixated, all rights reserved"
127510,Fomes fomentarius,Hoof Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/469670229/medium.jpeg,https://www.inaturalist.org/taxa/127510,no rights reserved
127510,Fomes fomentarius,Hoof Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/469686215/medium.jpeg,https://www.inaturalist.org/taxa/127510,"(c) yellowplant, some rights reserved (CC BY-NC)"
127510,Fomes fomentarius,Hoof Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/469515585/medium.jpeg,https://www.inaturalist.org/taxa/127510,"(c) Kalle Rainio, some rights reserved (CC BY-NC)"
48473,Ganoderma applanatum,artist's bracket,https://inaturalist-open-data.s3.amazonaws.com/photos/469575496/medium.jpeg,https://www.inaturalist.org/taxa/48473,"(c) ikelman, some rights reserved (CC BY)"
48473,Ganoderma applanatum,artist's bracket,https://static.inaturalist.org/photos/469488775/medium.jpeg,https://www.inaturalist.org/taxa/48473,"(c) Henning Karger, all rights reserved"
