id,scientific_name,common_name,image_url,taxa_url,attribution
48711,Lobaria pulmonaria,Tree Lungwort,https://static.inaturalist.org/photos/469678461/medium.jpeg,https://www.inaturalist.org/taxa/48711,"(c) Pauliina Mäenpää, all rights reserved"
48711,Lobaria pulmonaria,Tree Lungwort,https://static.inaturalist.org/photos/469644815/medium.jpeg,https://www.inaturalist.org/taxa/48711,"(c) Susan Whittington, all rights reserved"
48711,Lobaria pulmonaria,Tree Lungwort,https://static.inaturalist.org/photos/469412845/medium.jpg,https://www.inaturalist.org/taxa/48711,"(c) raklein, all rights reserved"
67594,Flammulina velutipes,Velvet Foot,https://inaturalist-open-data.s3.amazonaws.com/photos/469703947/medium.jpeg,https://www.inaturalist.org/taxa/67594,"(c) meadowlark55, some rights reserved (CC BY-NC)"
67594,Flammulina velutipes,Velvet Foot,https://inaturalist-open-data.s3.amazonaws.com/photos/469445923/medium.jpeg,https://www.inaturalist.org/taxa/67594,"(c) Mike Bowie, some rights reserved (CC BY)"
67594,Flammulina velutipes,Velvet Foot,https://inaturalist-open-data.s3.amazonaws.com/photos/469126169/medium.jpeg,https://www.inaturalist.org/taxa/67594,"(c) michaelst, some rights reserved (CC BY-NC)"
125705,Trichaptum biforme,violet-toothed polypore,https://static.inaturalist.org/photos/469560016/medium.jpg,https://www.inaturalist.org/taxa/125705,"(c) rkillam, all rights reserved"
125705,Trichaptum biforme,violet-toothed polypore,https://static.inaturalist.org/photos/469540898/medium.jpeg,https://www.inaturalist.org/taxa/125705,"(c) Todd Hills, all rights reserved"
125705,Trichaptum biforme,violet-toothed polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/469462442/medium.jpeg,https://www.inaturalist.org/taxa/125705,"(c) WATANABE Hitoshi 渡辺仁, some rights reserved (CC BY)"
196842,Stereum complicatum,crowded parchment,https://inaturalist-open-data.s3.amazonaws.com/photos/469606281/medium.jpg,https://www.inaturalist.org/taxa/196842,"(c) rosebud706, some rights reserved (CC BY-NC)"
196842,Stereum complicatum,crowded parchment,https://inaturalist-open-data.s3.amazonaws.com/photos/469589076/medium.jpg,https://www.inaturalist.org/taxa/196842,"(c) mackenzi_doss, some rights reserved (CC BY-NC)"
196842,Stereum complicatum,crowded parchment,https://static.inaturalist.org/photos/469582657/medium.jpg,https://www.inaturalist.org/taxa/196842,"(c) EarlyEAS, all rights reserved"
48494,Pleurotus ostreatus,Oyster Mushroom,https://static.inaturalist.org/photos/469545189/medium.jpeg,https://www.inaturalist.org/taxa/48494,"(c) Henning Karger, all rights reserved"
48494,Pleurotus ostreatus,Oyster Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/469665157/medium.jpeg,https://www.inaturalist.org/taxa/48494,"(c) m-polzin, some rights reserved (CC BY-NC)"
48494,Pleurotus ostreatus,Oyster Mushroom,https://static.inaturalist.org/photos/469494929/medium.jpeg,https://www.inaturalist.org/taxa/48494,"(c) Henning Karger, all rights reserved"
124102,Daedaleopsis confragosa,Thin-walled Maze Polypore,https://static.inaturalist.org/photos/469685175/medium.jpeg,https://www.inaturalist.org/taxa/124102,"(c) Øystein, all rights reserved"
124102,Daedaleopsis confragosa,Thin-walled Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/469687160/medium.jpeg,https://www.inaturalist.org/taxa/124102,"(c) Paco Bergson, some rights reserved (CC BY-NC)"
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/469365636/medium.jpg,https://www.inaturalist.org/taxa/194476,"(c) stephaniemelkonyan, some rights reserved (CC BY-NC)"
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/469190313/medium.jpeg,https://www.inaturalist.org/taxa/194476,no rights reserved
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/469061990/medium.jpeg,https://www.inaturalist.org/taxa/194476,"(c) Turo Tuomikoski, some rights reserved (CC BY-NC)"
54134,Trametes versicolor,turkey-tail,https://inaturalist-open-data.s3.amazonaws.com/photos/469715293/medium.jpeg,https://www.inaturalist.org/taxa/54134,"(c) Makinley Slater, some rights reserved (CC BY-NC)"
54134,Trametes versicolor,turkey-tail,https://inaturalist-open-data.s3.amazonaws.com/photos/469724607/medium.jpg,https://www.inaturalist.org/taxa/54134,no rights reserved
54134,Trametes versicolor,turkey-tail,https://inaturalist-open-data.s3.amazonaws.com/photos/469740121/medium.jpg,https://www.inaturalist.org/taxa/54134,"(c) agnes2705-_kpf_-, some rights reserved (CC BY-NC)"
54164,Pseudohydnum gelatinosum,Toothed Jelly Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/469449796/medium.jpeg,https://www.inaturalist.org/taxa/54164,"(c) pickleweed97, some rights reserved (CC BY-NC)"
54164,Pseudohydnum gelatinosum,Toothed Jelly Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/469256325/medium.jpg,https://www.inaturalist.org/taxa/54164,"(c) bridgetflannery, some rights reserved (CC BY-NC)"
